region,comuna,date,WeeklyCases,week,CumCases,Pop
Biobio,Cabrero,Week 2: 03/01 to 03/07,0,2,0,30725
Biobio,Cabrero,Week 9: 04/19 to 04/25,0,9,0,30725
Biobio,Cabrero,Week 12: 05/10 to 05/16,0,12,0,30725
Biobio,Cabrero,Week 14: 05/24 to 05/30,0,14,0,30725
Biobio,Cabrero,Week 16: 06/07 to 06/13,0,16,0,30725
Biobio,Cabrero,Week 6: 03/29 to 04/04,0,6,0,30725
Biobio,Cabrero,Week 15: 05/31 to 06/06,0,15,0,30725
Biobio,Cabrero,Week 5: 03/22 to 03/28,0,5,0,30725
Biobio,Cabrero,Week 3: 03/08 to 03/14,0,3,0,30725
Biobio,Cabrero,Week 11: 05/03 to 05/09,0,11,0,30725
Biobio,Cabrero,Week 13: 05/17 to 05/23,0,13,0,30725
Biobio,Cabrero,Week 10: 04/26 to 05/02,0,10,0,30725
Biobio,Cabrero,Week 0: 02/16 to 02/22,0,0,0,30725
Biobio,Cabrero,Week 7: 04/05 to 04/11,0,7,0,30725
Biobio,Cabrero,Week 8: 04/12 to 04/18,0,8,0,30725
Antofagasta,Calama,Week 14: 05/24 to 05/30,0,14,1,190336
Antofagasta,Calama,Week 12: 05/10 to 05/16,0,12,1,190336
Antofagasta,Calama,Week 8: 04/12 to 04/18,0,8,1,190336
Antofagasta,Calama,Week 6: 03/29 to 04/04,0,6,1,190336
Antofagasta,Calama,Week 5: 03/22 to 03/28,0,5,1,190336
Antofagasta,Calama,Week 11: 05/03 to 05/09,0,11,1,190336
Antofagasta,Calama,Week 3: 03/08 to 03/14,0,3,1,190336
Antofagasta,Calama,Week 13: 05/17 to 05/23,0,13,1,190336
Antofagasta,Calama,Week 2: 03/01 to 03/07,0,2,1,190336
Antofagasta,Calama,Week 4: 03/15 to 03/21,0,4,1,190336
Antofagasta,Calama,Week 0: 02/16 to 02/22,1,0,1,190336
Antofagasta,Calama,Week 1: 02/23 to 02/29,0,1,1,190336
Antofagasta,Calama,Week 9: 04/19 to 04/25,0,9,1,190336
Antofagasta,Calama,Week 15: 05/31 to 06/06,0,15,1,190336
Antofagasta,Calama,Week 7: 04/05 to 04/11,0,7,1,190336
Antofagasta,Calama,Week 16: 06/07 to 06/13,0,16,1,190336
Antofagasta,Calama,Week 10: 04/26 to 05/02,0,10,1,190336
Los Lagos,Calbuco,Week 15: 05/31 to 06/06,0,15,0,36744
Los Lagos,Calbuco,Week 16: 06/07 to 06/13,0,16,0,36744
Los Lagos,Calbuco,Week 14: 05/24 to 05/30,0,14,0,36744
Los Lagos,Calbuco,Week 6: 03/29 to 04/04,0,6,0,36744
Los Lagos,Calbuco,Week 2: 03/01 to 03/07,0,2,0,36744
Los Lagos,Calbuco,Week 8: 04/12 to 04/18,0,8,0,36744
Los Lagos,Calbuco,Week 1: 02/23 to 02/29,0,1,0,36744
Los Lagos,Calbuco,Week 12: 05/10 to 05/16,0,12,0,36744
Los Lagos,Calbuco,Week 13: 05/17 to 05/23,0,13,0,36744
Los Lagos,Calbuco,Week 9: 04/19 to 04/25,0,9,0,36744
Los Lagos,Calbuco,Week 7: 04/05 to 04/11,0,7,0,36744
Los Lagos,Calbuco,Week 0: 02/16 to 02/22,0,0,0,36744
Los Lagos,Calbuco,Week 3: 03/08 to 03/14,0,3,0,36744
Los Lagos,Calbuco,Week 11: 05/03 to 05/09,0,11,0,36744
Los Lagos,Calbuco,Week 10: 04/26 to 05/02,0,10,0,36744
Los Lagos,Calbuco,Week 5: 03/22 to 03/28,0,5,0,36744
Los Lagos,Calbuco,Week 4: 03/15 to 03/21,0,4,0,36744
Atacama,Caldera,Week 8: 04/12 to 04/18,0,8,0,19426
Atacama,Caldera,Week 7: 04/05 to 04/11,0,7,0,19426
Atacama,Caldera,Week 2: 03/01 to 03/07,0,2,0,19426
Atacama,Caldera,Week 12: 05/10 to 05/16,0,12,0,19426
Atacama,Caldera,Week 16: 06/07 to 06/13,0,16,0,19426
Atacama,Caldera,Week 0: 02/16 to 02/22,0,0,0,19426
Atacama,Caldera,Week 14: 05/24 to 05/30,0,14,0,19426
Atacama,Caldera,Week 13: 05/17 to 05/23,0,13,0,19426
Atacama,Caldera,Week 10: 04/26 to 05/02,0,10,0,19426
Atacama,Caldera,Week 1: 02/23 to 02/29,0,1,0,19426
Atacama,Caldera,Week 6: 03/29 to 04/04,0,6,0,19426
Atacama,Caldera,Week 15: 05/31 to 06/06,0,15,0,19426
Atacama,Caldera,Week 11: 05/03 to 05/09,0,11,0,19426
Atacama,Caldera,Week 5: 03/22 to 03/28,0,5,0,19426
Atacama,Caldera,Week 3: 03/08 to 03/14,0,3,0,19426
